time,x,y,z,gforce
0.0120,-0.0636,0.0315,1.0423,1.045
0.0130,-0.0632,0.0266,1.0374,1.040
0.0140,-0.0612,0.0334,1.0257,1.028
0.0140,-0.0524,0.0359,1.0199,1.022
0.0150,-0.0514,0.0339,1.0213,1.023
0.0150,-0.0387,0.0305,1.0018,1.003
0.0160,-0.0299,0.0334,1.0106,1.012
0.0210,-0.0285,0.0305,1.0111,1.012
0.0220,-0.0241,0.0295,1.0003,1.001
0.0310,-0.0202,0.0305,1.0003,1.001
0.0320,-0.0221,0.0344,0.9964,0.997
0.0370,-0.0270,0.0315,0.9949,0.996
0.0410,-0.0226,0.0310,0.9925,0.993
0.0440,-0.0275,0.0300,0.9886,0.989
0.0480,-0.0270,0.0349,0.9881,0.989
0.0530,-0.0314,0.0363,0.9700,0.971
0.0570,-0.0314,0.0373,0.9769,0.978
0.0620,-0.0265,0.0451,0.9705,0.972
0.0660,-0.0324,0.0393,0.9695,0.971
0.0710,-0.0289,0.0359,0.9749,0.976
0.0750,-0.0280,0.0383,0.9705,0.972
0.0790,-0.0309,0.0422,0.9661,0.968
0.0840,-0.0246,0.0398,0.9627,0.964
0.0900,-0.0270,0.0422,0.9681,0.969
0.0930,-0.0211,0.0451,0.9558,0.957
0.0970,-0.0285,0.0373,0.9612,0.962
0.1030,-0.0250,0.0373,0.9563,0.957
0.1170,-0.0289,0.0398,0.9612,0.962
0.1180,-0.0363,0.0466,0.9558,0.958
0.1200,-0.0324,0.0500,0.9568,0.959
0.1210,-0.0343,0.0354,0.9490,0.950
0.1240,-0.0338,0.0437,0.9466,0.948
0.1360,-0.0260,0.0383,0.9573,0.958
0.1370,-0.0275,0.0412,0.9583,0.960
0.1380,-0.0192,0.0456,0.9637,0.965
0.1670,-0.0231,0.0402,0.9598,0.961
0.1720,-0.0231,0.0407,0.9519,0.953
0.1720,-0.0153,0.0310,0.9666,0.967
0.1730,-0.0104,0.0329,0.9588,0.959
0.1750,-0.0118,0.0290,0.9666,0.967
0.1760,-0.0084,0.0388,0.9607,0.962
0.1770,-0.0045,0.0310,0.9754,0.976
0.1770,-0.0070,0.0363,0.9739,0.975
0.1780,-0.0109,0.0339,0.9827,0.983
0.1850,-0.0143,0.0300,0.9803,0.981
0.1850,-0.0148,0.0300,1.0028,1.003
0.1910,-0.0118,0.0324,1.0028,1.003
0.1930,-0.0123,0.0388,1.0120,1.013
0.1970,-0.0143,0.0295,1.0194,1.020
0.2040,-0.0162,0.0300,1.0296,1.030
0.2060,-0.0192,0.0261,1.0257,1.026
0.2110,-0.0299,0.0310,1.0287,1.030
0.2140,-0.0348,0.0359,1.0267,1.028
0.2200,-0.0348,0.0422,1.0208,1.022
0.2230,-0.0377,0.0417,1.0164,1.018
0.2270,-0.0417,0.0398,1.0067,1.008
0.2330,-0.0368,0.0378,1.0037,1.005
0.2360,-0.0358,0.0393,1.0135,1.015
0.2410,-0.0304,0.0412,0.9974,0.999
0.2450,-0.0275,0.0432,1.0052,1.006
0.2500,-0.0275,0.0383,0.9905,0.992
0.2610,-0.0250,0.0383,0.9896,0.991
0.2620,-0.0226,0.0432,0.9788,0.980
0.2630,-0.0265,0.0383,0.9769,0.978
0.2680,-0.0226,0.0407,0.9783,0.979
0.2750,-0.0216,0.0437,0.9813,0.982
0.2780,-0.0182,0.0476,0.9710,0.972
0.2820,-0.0202,0.0461,0.9710,0.972
0.2890,-0.0236,0.0486,0.9666,0.968
0.2910,-0.0285,0.0486,0.9676,0.969
0.2930,-0.0309,0.0564,0.9715,0.974
0.2980,-0.0417,0.0486,0.9558,0.958
0.3020,-0.0431,0.0573,0.9593,0.962
0.3060,-0.0446,0.0598,0.9681,0.971
0.3110,-0.0363,0.0554,0.9583,0.961
0.3150,-0.0417,0.0559,0.9578,0.960
0.3190,-0.0397,0.0578,0.9607,0.963
0.3230,-0.0343,0.0588,0.9583,0.961
0.3280,-0.0353,0.0539,0.9700,0.972
0.3350,-0.0343,0.0578,0.9681,0.970
0.3370,-0.0363,0.0530,0.9632,0.965
0.3420,-0.0358,0.0520,0.9622,0.964
0.3460,-0.0353,0.0481,0.9651,0.967
0.3550,-0.0255,0.0495,0.9671,0.969
0.3560,-0.0202,0.0510,0.9715,0.973
0.3600,-0.0172,0.0525,0.9788,0.980
0.3640,-0.0123,0.0539,0.9842,0.986
0.3820,-0.0089,0.0471,0.9803,0.981
0.3850,-0.0114,0.0510,0.9798,0.981
0.3860,-0.0070,0.0432,0.9871,0.988
0.3870,-0.0148,0.0456,0.9847,0.986
0.3890,-0.0065,0.0437,0.9827,0.984
0.3900,-0.0070,0.0402,0.9827,0.984
0.3950,-0.0104,0.0412,0.9842,0.985
0.3980,-0.0148,0.0446,0.9837,0.985
0.4130,-0.0153,0.0471,0.9852,0.986
0.4150,-0.0187,0.0490,0.9739,0.975
