time,gFx,gFy,gFz,gFTotal
2018-10-02 15:47:05.5170,0.005,0.009,-0.982,0.982
2018-10-02 15:47:05.5260,0.005,0.006,-0.973,0.973
2018-10-02 15:47:05.5520,0.008,-0.007,-0.977,0.977
2018-10-02 15:47:05.5530,0.008,-0.007,-0.977,0.977
2018-10-02 15:47:05.5560,0.006,-0.008,-0.988,0.988
2018-10-02 15:47:05.5660,0.004,-0.003,-1.002,1.002
2018-10-02 15:47:05.5770,-0.0,0.002,-1.01,1.01
2018-10-02 15:47:05.6020,-0.0,0.005,-1.021,1.021
2018-10-02 15:47:05.6020,-0.0,0.005,-1.021,1.021
2018-10-02 15:47:05.6060,0.001,0.002,-1.021,1.021
2018-10-02 15:47:05.6160,0.004,-0.001,-1.018,1.018
2018-10-02 15:47:05.6260,0.008,-0.002,-1.016,1.016
2018-10-02 15:47:05.6510,0.008,-0.007,-1.013,1.013
2018-10-02 15:47:05.6510,0.008,-0.007,-1.013,1.013
2018-10-02 15:47:05.6560,0.011,-0.009,-1.011,1.011
2018-10-02 15:47:05.6660,0.01,-0.01,-1.013,1.013
2018-10-02 15:47:05.6760,0.013,-0.014,-1.023,1.023
2018-10-02 15:47:05.7010,0.021,-0.016,-1.034,1.034
2018-10-02 15:47:05.7020,0.021,-0.016,-1.034,1.034
2018-10-02 15:47:05.7060,0.022,-0.019,-1.033,1.033
2018-10-02 15:47:05.7160,0.023,-0.018,-1.028,1.028
2018-10-02 15:47:05.7260,0.02,-0.012,-1.022,1.022
2018-10-02 15:47:05.7510,0.021,-0.001,-1.012,1.012
2018-10-02 15:47:05.7520,0.021,-0.001,-1.012,1.012
2018-10-02 15:47:05.7560,0.02,0.0,-1.008,1.008
2018-10-02 15:47:05.7660,0.023,-0.002,-1.007,1.007
2018-10-02 15:47:05.7760,0.027,-0.007,-1.005,1.005
2018-10-02 15:47:05.8020,0.033,-0.022,-1.002,1.003
2018-10-02 15:47:05.8020,0.033,-0.022,-1.002,1.003
2018-10-02 15:47:05.8050,0.037,-0.024,-0.995,0.996
2018-10-02 15:47:05.8150,0.037,-0.024,-0.994,0.995
2018-10-02 15:47:05.8250,0.034,-0.022,-1.002,1.003
2018-10-02 15:47:05.8520,0.029,-0.017,-1.009,1.01
2018-10-02 15:47:05.8520,0.029,-0.017,-1.009,1.01
2018-10-02 15:47:05.8550,0.027,-0.015,-1.012,1.012
2018-10-02 15:47:05.8650,0.024,-0.016,-1.013,1.013
2018-10-02 15:47:05.8750,0.021,-0.016,-1.016,1.016
2018-10-02 15:47:05.9000,0.016,-0.016,-1.011,1.011
2018-10-02 15:47:05.9010,0.016,-0.016,-1.011,1.011
2018-10-02 15:47:05.9050,0.018,-0.017,-1.008,1.008
2018-10-02 15:47:05.9150,0.019,-0.017,-1.006,1.006
2018-10-02 15:47:05.9250,0.017,-0.017,-1.008,1.008
2018-10-02 15:47:05.9510,0.015,-0.011,-1.005,1.005
2018-10-02 15:47:05.9520,0.015,-0.011,-1.005,1.005
2018-10-02 15:47:05.9550,0.014,-0.011,-0.999,0.999
2018-10-02 15:47:05.9650,0.013,-0.012,-0.991,0.991
2018-10-02 15:47:05.9750,0.013,-0.01,-0.988,0.988
2018-10-02 15:47:06.0010,0.01,-0.004,-0.985,0.985
